title,year,director1,director2,actor1,actor2,budget,runtime,nudity,twist,genre1,genre2,mpa,medium,nationality,distribution,watchdate,rewatch,personal_rating,avg_rating,r-direction,r-cinematography,r-score,r-acting,r-screenplay,location,watchon,rental,cost,notes
Ready or Not,2019,Matt Bettinelli-Olpin,Tyler Gillett,,,6000000,94,0,1,thriller,comedy,r,liveaction,american,,20200628,0,7,,,,,,,home,,,,
I am Legend,2007,Francis Lawrence,,,,159000000,104,0,1,thriller,horror,pg13,liveaction,american,,20200624,1,7,,,,,,,home,,,,
Scream 2,1997,Wes Craven,,,,24000000,122,0,1,horror,comedy,r,liveaction,american,,20200624,0,7,,,,,,,home,,,,
Scream,1996,Wes Craven,,,,15000000,111,0,1,horror,comedy,r,liveaction,american,,20200623,0,8.3,,,,,,,home,,,,
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,,,,"56,903",101,0,1,horror,drama,nr,liveaction,american,,20200622,0,9,,,,,,,home,,,,
Night of the Living Dead,1968,George Romero,,,,114000,96,0,1,horror,,nr,liveaction,american,,20200618,0,8,,,,,,,home,,,,
Color out of Space,2019,Richard Stanley,,,,12000000,111,0,1,horror,scifi,ur,liveaction,american,,20200614,0,4,,,,,,,home,,,,
Howl's Moving Castle,2004,Hayao Miyazaki,,,,"23,120,496",119,0,0,adventure,fantasy,pg,anime,japanese,,20200612,1,8,,,,,,,home,,,,
Ponyo,2008,Hayao Miyazaki,,,,"32,754,036",103,0,0,adventure,childrens,g,anime,japanese,,20200611,0,9,,,,,,,home,,,,
Castle in the Sky,1986,Hayao Miyazaki,,,,3300000,124,0,0,adventure,fantasy,pg,anime,japanese,,20200606,1,8,,,,,,,home,,,,
The Thing,1982,John Carpenter,,,,10000000,109,0,1,horror,,r,liveaction,american,,20200605,0,10,,,,,,,home,,,,
The Host,2006,Bong Joon-ho,,,,40000000,125,0,1,horror,action,r,liveaction,american,,20200604,0,6.5,,,,,,,home,,,,
Casino Royale,2006,Martin Campbell,,,,150000000,145,0,1,action,thriller,r,liveaction,american,,20200603,0,8.3,,,,,,,home,,,,
Hellraiser,1987,Clive Barker,,,,1000000,94,1,1,horror,,r,liveaction,american,,20200602,0,7,,,,,,,home,,,,
Portrait of a Lady on Fire,2019,Céline Sciamma,,,,"5,934,789",119,1,0,drama,period,r,liveaction,french,,20200602,0,9,,,,,,,home,,,,
Nausicaa and the Valley of the Wind,1984,Hayao Miyazaki,,,,"1,734,156",117,0,0,adventure,fantasy,pg,anime,japanese,,20200530,0,7,,,,,,,home,,,,
Susperia,2018,Luca Guadagnino,,,,20000000,153,1,1,horror,,r,livaction,italian,,20200528,0,4,,,,,,,home,,,,
Steven Universe: The Movie,2019,Rebecca Sugar,,,,45000000,82,0,0,adventure,childrens,pg,animated,american,,20200524,0,6,,,,,,,home,,,,
The Fog,1980,John Carpenter,,,,1000000,94,0,1,horror,,r,liveaction,american,,20200524,0,8,,,,,,,home,,,,
The Head Hunter,2018,Jordan Downey,,,,30000,72,0,0,horror,indie,nr,liveaction,american,,20200523,0,2,,,,,,,home,,,,
Do the Right Thing,1989,Spike Lee,,,,6500000,125,0,1,drama,comedy,r,liveaction,american,,20200522,0,7.8,,,,,,,home,,,,
Knives Out,2019,Rian Johnson,,,,40000000,130,0,1,crime,comedy,r,liveaction,american,,20200513,1,9,,,,,,,home,,,,
Ali: Fear Eats the Soul,1974,Rainer Werner Fassbinder,,,,NA,92,0,0,drama,,pg13,liveaction,german,,20200511,0,6,,,,,,,home,,,,
Annihilation,2018,Alex Garland,,,,45000000,115,0,1,horror,scifi,r,liveaction,american,,20200511,0,6,,,,,,,home,,,,
Mandy,2018,Panos Cosmatos,,,,6000000,121,1,0,horror,,r,liveaction,american,,20200511,0,5,,,,,,,home,,,,
Moonlight,2016,Barry Jenkins,,,,4000000,111,0,1,drama,queer,r,liveaction,american,,20200510,0,8,,,,,,,home,,,,
Parasite,2019,Bong Joon-ho,,,,"12,313,371",132,1,1,thriller,comedy,r,liveaction,korean,,20200424,1,9.5,,,,,,,home,,,,
Blade Runner,1982,Ridley Scott,,,,28000000,117,0,1,scifi,crime,r,liveaction,american,,20200402,1,9,,,,,,,home,,,,
Ghost in the Shell,1995,Mamoru Oshii,,,,1000000,85,1,1,scifi,crime,r,anime,japanese,,20200401,1,8.5,,,,,,,home,,,,
Ghost in the Shell,1995,Mamoru Oshii,,,,1000000,85,1,1,scifi,crime,r,anime,japanese,,20200331,0,8.5,,,,,,,home,,,,
Mad Max,1979,George Miller,,,,350000,95,0,0,action,thriller,r,liveaction,australian,,20200329,0,7.4,,,,,,,home,,,,
Batman,1989,Tim Burton,,,,35000000,126,0,0,action,super-hero,pg13,liveaction,american,,20200328,0,8,,,,,,,home,,,,
There Will Be Blood,2007,Paul Thomas Anderson,,,,25000000,158,0,0,drama,period,r,liveaction,american,,20200308,0,8,,,,,,,home,,,,
Crouching Tiger Hidden Dragon,2000,Ang Lee,,,,15000000,120,0,1,action,,pg13,liveaction,chinese,,20200306,0,9.5,,,,,,,home,,,,
Snowpiercer,2013,Bong Joon-ho,,,,40000000,126,0,1,action,thriller,r,liveaction,korean,,20200223,0,6,,,,,,,home,,,,
A Quiet Place,2018,John Krasinski,,,,17000000,91,0,1,horror,thriller,pg13,liveaction,american,,20200222,0,6,,,,,,,home,,,,
Once Upon a Time... in Hollywood,2019,Quentin Tarantino,,,,95000000,160,1,1,comedy,drama,r,liveaction,american,,20200219,0,8,,,,,,,home,,,,
What we do in the Shadows,2014,Taika Waititi,Jemaine Clement,,,1600000,87,0,1,comedy,horror,r,liveaction,kiwi,,20200209,1,9,,,,,,,home,,,,
The Car: Road to Revenge,2019,G.J. Echternkamp,,,,NA,89,0,0,horror,comedy,nr,liveaction,,,20200203,0,4,,,,,,,home,,,,
Sharktopus vs Whalewolf,2015,Kevin O'Neill,,,,6000000,85,0,1,horror,comedy,nr,liveaction,,,20200202,0,3,,,,,,,home,,,,
What's Eating Gilbert Grape,1993,Lasse Hallström,,,,11000000,128,0,0,drama,,pg13,liveaction,american,,20200118,0,6,,,,,,,out,,,,
